TIM REL,GTX,GTY,XRAW,YRAW,GT Xmm,GT Ymm,Xmm,Ymm,YAW GT,YAW DATA,PITCH GT,PITCH DATA,GAZE GT,GAZE ANG,DIFF GZ
3841.83734989,335.0,1.0,365.5869,16.9826,76.38,0.228,83.3538132,3.8720328,6.22715269066,3.35744008439,0.0186620532386,-5.64864816851,13.3909371584,13.4062657694,0.0153286110009
3875.23877001,335.0,1.0,365.3305,16.5599,76.38,0.228,83.295354,3.7756572,6.22715269066,3.34639966591,0.0186620532386,-5.66456936735,13.3909371584,13.3904737156,0.000463442832613
3908.61766005,335.0,1.0,363.5517,17.4893,76.38,0.228,82.8897876,3.9875604,6.22715269066,3.31240922227,0.0186620532386,-5.65059722937,13.3909371584,13.3860348087,0.00490234970391
3941.8440299,335.0,1.0,364.316,21.4269,76.38,0.228,83.064048,4.8853332,6.22715269066,3.32161674802,0.0186620532386,-5.58455861357,13.3909371584,13.4500272031,0.0590900446828
3975.23917007,335.0,1.0,366.8798,26.2501,76.38,0.228,83.6485944,5.9850228,6.22715269066,3.3666191401,0.0186620532386,-5.49923518201,13.3909371584,13.543466874,0.152529715649
4008.3640399,335.0,1.0,369.2044,26.5112,76.38,0.228,84.1786032,6.0445536,6.22715269066,3.41022971115,0.0186620532386,-5.49784342796,13.3909371584,13.5647564158,0.173819257356
4041.71184993,335.0,1.0,370.5723,26.8825,76.38,0.228,84.4904844,6.12921,6.22715269066,3.43436414719,0.0186620532386,-5.4909093909,13.3909371584,13.5823184605,0.191381302137
4075.00520992,335.0,1.0,371.039,27.3647,76.38,0.228,84.596892,6.2391516,6.22715269066,3.44645960314,0.0186620532386,-5.47820242265,13.3909371584,13.5965436525,0.205606494121
4108.36300993,335.0,1.0,370.2013,22.3045,76.38,0.228,84.4058964,5.085426,6.22715269066,3.43297651672,0.0186620532386,-5.57085042936,13.3909371584,13.5085690804,0.117631922048
4141.73847985,335.0,1.0,368.9797,22.6151,76.38,0.228,84.1273716,5.1562428,6.22715269066,3.40996693951,0.0186620532386,-5.56740400605,13.3909371584,13.4965824409,0.105645282475
4174.98251987,335.0,1.0,367.4648,20.4972,76.38,0.228,83.7819744,4.6733616,6.22715269066,3.37431680837,0.0186620532386,-5.62393988229,13.3909371584,13.4392227339,0.048285575542
4208.32093,335.0,1.0,368.7822,18.8249,76.38,0.228,84.0823416,4.2920772,6.22715269066,3.39499469351,0.0186620532386,-5.66135727269,13.3909371584,13.4226015548,0.0316643963924
4241.61542988,335.0,1.0,368.6732,22.0779,76.38,0.228,84.0574896,5.0337612,6.22715269066,3.39274147416,0.0186620532386,-5.59600410263,13.3909371584,13.4762246071,0.0852874487469
4274.9883399,335.0,1.0,368.2763,22.7734,76.38,0.228,83.9669964,5.1923352,6.22715269066,3.39067359157,0.0186620532386,-5.57898659325,13.3909371584,13.4886106727,0.0976735142694
4308.35724998,335.0,1.0,366.9645,24.3217,76.38,0.228,83.667906,5.5453476,6.22715269066,3.3712565194,0.0186620532386,-5.547721163,13.3909371584,13.5024895311,0.111552372697
4341.48810005,335.0,1.0,369.7482,21.5943,76.38,0.228,84.3025896,4.9235004,6.22715269066,3.41890055762,0.0186620532386,-5.60025038512,13.3909371584,13.4794058518,0.0884686933531
4374.98988008,335.0,1.0,368.9054,30.4266,76.38,0.228,84.1104312,6.9372648,6.22715269066,3.3977209641,0.0186620532386,-5.43765499206,13.3909371584,13.609306973,0.218369814614
4408.07255006,335.0,1.0,370.5624,26.659,76.38,0.228,84.4882272,6.078252,6.22715269066,3.42871247708,0.0186620532386,-5.50783469722,13.3909371584,13.5647589446,0.173821786191
4441.48251987,335.0,1.0,369.8685,19.2976,76.38,0.228,84.330018,4.3998528,6.22715269066,3.41668775984,0.0186620532386,-5.64486048644,13.3909371584,13.4454519921,0.054514833709
4474.69433999,335.0,1.0,370.7482,17.4475,76.38,0.228,84.5305896,3.97803,6.22715269066,3.43967996462,0.0186620532386,-5.67365236394,13.3909371584,13.4307332344,0.0397960760078
4508.05440998,335.0,1.0,369.8479,19.2013,76.38,0.228,84.3253212,4.3778964,6.22715269066,3.4231279668,0.0186620532386,-5.63806024706,13.3909371584,13.4524686672,0.0615315087548
